zip5,active_shop_count,population,median_income,median_gross_rent,median_home_value,young_adult_share,supply_per_10k,demand_score,supply_score,gap_score,regional_cost_score,regional_feasibility_score,city_trend_index,quadrant
98005,2,21929,158396,2380.0,1373000.0,0.0399471020110356,0.9120342924893976,57.215110033635945,9.279893494857253,47.93521653877869,72.67121736024242,27.328782639757577,11.493644067796609,LowDemand_HighSupply
98116,3,28091,130504,2033.0,917000.0,0.0424335196326225,1.0679577088747285,61.82963112213956,14.040788189181495,47.78884293295806,49.26217756173993,50.73782243826007,11.493644067796609,LowDemand_HighSupply
98027,3,28335,150000,2343.0,976400.0,0.0382918651844009,1.058761249338274,61.59152477919693,13.968104026531872,47.623420752665055,60.82479982446605,39.17520017553395,11.493644067796609,LowDemand_HighSupply
98101,4,16396,128143,2476.0,741400.0,0.1195413515491583,2.4396194193705782,61.21491771605584,28.4102631809807,32.80465453507514,58.78617152082904,41.21382847917096,11.493644067796609,LowDemand_HighSupply
98057,3,12151,68097,1767.0,606500.0,0.0784297588675829,2.468932598140071,54.108269227981936,25.113384802666477,28.99488442531546,32.366957826885134,67.63304217311486,11.493644067796609,LowDemand_HighSupply
98105,15,49229,78691,1803.0,1261100.0,0.2753255195108574,3.0469845010055048,100.0,72.02467346680069,27.975326533199308,51.113831217106046,48.886168782893954,11.493644067796609,HighDemand_HighSupply
98188,7,26769,76559,1641.0,452900.0,0.0584631476708132,2.614965071537973,62.48482897220134,40.381771219953386,22.103057752247956,24.18873463350186,75.81126536649813,11.493644067796609,LowDemand_HighSupply
98104,5,15870,61866,1511.0,663000.0,0.0803402646502835,3.15059861373661,56.934794898681496,37.55803787911945,19.376757019562042,25.654735960465977,74.34526403953402,11.493644067796609,LowDemand_HighSupply
98004,12,39435,176367,2706.0,2000001.0,0.0416381387092684,3.0429821224800304,69.79610571108188,61.407375960798994,8.388729750282884,100.0,0.0,11.493644067796609,HighDemand_HighSupply
98158,1,0,-666666666,1100.0,200000.0,0.0518342306247652,0.7369739848183359,0.0,4.3677504953231105,-4.3677504953231105,0.0,100.0,11.493644067796609,LowDemand_LowSupply
98134,1,779,66119,1551.0,385300.0,0.1643132220795892,12.836970474967906,54.596301614343886,100.0,-45.403698385656114,19.478781309347248,80.52121869065274,11.493644067796609,LowDemand_HighSupply
