zip5,population,median_income,young_adult_share,median_gross_rent,median_home_value
01824,26628,141337,0.0582845125431876,2076.0,590900.0
01826,32373,111451,0.0508139498965187,1740.0,466200.0
01827,3375,202379,0.0616296296296296,1500.0,624300.0
01830,26685,79784,0.0616451189807007,1602.0,436400.0
01832,26065,81141,0.0606560521772491,1612.0,410300.0
01833,8380,153565,0.0398568019093078,1973.0,614700.0
01834,6747,135521,0.048169556840077,1815.0,571900.0
01835,14637,108275,0.0696864111498257,1747.0,431400.0
01840,7092,34630,0.0492103778905809,1174.0,200000.0
01841,52761,54525,0.0794526259926839,1565.0,393800.0
01843,28444,72163,0.0839895935873998,1703.0,393700.0
01844,53015,103292,0.0600396114307271,1610.0,471900.0
01845,31881,134319,0.0913396693955647,2113.0,670000.0
01850,16983,67581,0.0627097685921215,1666.0,367200.0
01851,32308,87962,0.0757397548594775,1686.0,432100.0
01852,36700,77058,0.0607629427792915,1567.0,397200.0
01854,28808,70397,0.1396834212718689,1477.0,360500.0
01860,6707,116477,0.0545698523930222,1236.0,531300.0
01862,11703,131214,0.0533196616252243,1881.0,503600.0
01863,9592,136284,0.0430567139282735,1698.0,477900.0
01864,15634,150820,0.0528975310221312,2253.0,680000.0
01867,25474,163407,0.0413755201381801,1722.0,741100.0
01876,30962,126795,0.0528389638912214,2248.0,546600.0
01879,12435,144167,0.0685967028548451,1863.0,533300.0
01880,27258,130419,0.0406119304424389,1872.0,670100.0
01886,24584,181523,0.0346973641392775,2068.0,689400.0
01887,23195,161473,0.0576417331321405,2412.0,646200.0
01890,22862,218176,0.028169014084507,2271.0,1181700.0
01901,1934,27561,0.0568769389865563,1193.0,343200.0
01902,51680,66755,0.0745743034055727,1571.0,456000.0
01904,20103,100597,0.0669054369994528,1742.0,515100.0
01905,27188,84341,0.0553185228777401,1749.0,443200.0
01906,28599,100819,0.0575894262037134,1982.0,589500.0
01907,15279,127714,0.0551083186072386,2206.0,690800.0
01908,3328,111004,0.0546875,1790.0,686000.0
01913,17277,100599,0.0315448283845575,1573.0,475400.0
01915,41656,102347,0.0872383330132513,1684.0,619600.0
01921,8229,190526,0.0309879693765949,736.0,874900.0
01922,3791,179896,0.0654180954893168,4200.0,727800.0
01923,27778,117072,0.0596515227878177,2004.0,611200.0
01929,3605,151509,0.0352288488210818,1828.0,828200.0
01930,29862,87898,0.0557229924318531,1395.0,587800.0
01937,146,-666666666,0.0,1100.0,200000.0
01938,13820,124405,0.0449348769898697,1525.0,701400.0
01940,13183,171044,0.0331487521808389,2333.0,891100.0
